Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
10,2836,5009578.0,U,LOVERS LANE,30613.0,0.0,2006-11-07,U6528,119072,0,0,1,533.3333,888.4128,1.6658,0,"MULTILINESTRING ((221526.71298474498 344864.9149687798, 221545.25300000003 344861.158, 221590.967 344853.057, 221600 344852.536, 221608.099 344851.592, 221609.32772874038 344851.39709590207), (222169.63733395445 344906.12343794724, 222183.94 344911.529, 222200 344916.982, 222209.322 344919.791, 222219.675 344923.338, 222228.485 344925.683, 222238.984 344928.928, 222245.37900000002 344932.008, 222248.429 344933.639, 222249.803 344935.293))"
11,2893,5017248.0,U,WILLOUGHBY COURT,311.0,0.0,2006-11-07,U6523,139518,0,0,1,533.3333,28.0476,0.0526,0,"LINESTRING (222299.77387033877 344825.68815768417, 222277.62199999997 344828.788)"
12,2898,5009520.0,U,HALLS LANE,14690.0,0.0,2006-11-07,U6518,67551,0,0,1,533.3333,86.9605,0.1631,0,"LINESTRING (223448.934 344387.25, 223444.799 344380.625, 223439.64500000002 344372.328, 223439.20400000003 344371.618, 223425.928 344351.24, 223418.375 344339.371, 223408.869 344324.016, 223402.782 344313.56)"
13,2923,5009275.0,U,KINARLA PARK,30491.0,0.0,2006-11-07,U6307,31291,0,0,1,533.3333,6.8633,0.0129,0,"LINESTRING (221767.20500000002 345205.289, 221762.831 345200)"
14,2952,5009456.0,U,LOUGHYOAN ROAD,30612.0,0.0,2006-11-07,U6513,15718,0,0,1,533.3333,112.3841,0.2107,0,"LINESTRING (224494.05200000003 343055.079, 224507.651 343055.825, 224511.52403812826 343055.98576884356)"
15,2963,5009533.0,U,DARLING STREET,4754.0,0.0,2006-11-07,U6523,62369,0,0,1,533.3333,3.4685,0.0065,0,"LINESTRING (223209.641 344325.779, 223206.29700000002 344326.7)"
16,3465,5005162.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,5338,0,0,1,1466.6667,495.0549,0.3375,0,"LINESTRING (206952.039 362352.68, 206983.191 362341.228, 207010.69300000003 362329.909, 207030.669 362323.955, 207040.35776710723 362322.532150483)"
17,3466,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,67627,0,0,1,533.3333,14.3832,0.027,0,"LINESTRING (222069.84399999998 342508.32, 222070.642 342503.162, 222071.51400000002 342498.003, 222072.14899999998 342494.123)"
18,3524,5011032.0,U,ROSSIGH ROAD,35158.0,0.0,2006-11-07,U0542,57335,0,0,1,533.3333,284.9965,0.5344,0,"LINESTRING (218149.305 355842.237, 218154.43800000002 355847.956, 218163.71399999998 355856.189, 218173.09100000001 355864.223, 218182.61800000002 355872.308, 218191.744 355880.541, 218201.01899999997 355889.025, 218210.39500000002 355897.509, 218219.42099999997 355905.742, 218228.947 355914.026, 218238.272 355922.51, 218247.598 355930.894, 218256.77399999998 355939.326, 218266.2 355947.511, 218275.526 355955.895, 218284.652 355964.078, 218293.87800000003 355972.312, 218303.45299999998 355981.047, 218312.78000000003 355989.131, 218314.10921843574 355990.3798999981)"
19,3615,5010983.0,U,VALLEY ROAD,35771.0,0.0,2006-11-07,U6503,134514,0,0,1,533.3333,301.3337,0.565,0,"LINESTRING (219618.098 354463.821, 219628.40399999998 354471.58, 219648.581 354484.746, 219662.13199999998 354493.575, 219669.25900000002 354497.716, 219680.936 354501.633, 219691.821 354504.096, 219712.195 354508.562, 219738.113 354513.861, 219758.63900000002 354517.779, 219772.61599999998 354521.709, 219780.34499999997 354525.404, 219795.13799999998 354535.639, 219814.89899999998 354551.603, 219834.956 354568.57, 219854.173 354583.331, 219869.104 354595.817, 219878.66600000003 354602.723)"
20,3653,5009330.0,U,DERRYGORE ROAD,33231.0,0.0,2006-11-07,U6501,77933,0,0,1,533.3333,942.6644,1.7675,0,"LINESTRING (223424.71315459168 345767.68342052394, 223479.092 345785.532, 223554.235 345812.486, 223578.36990024894 345820.86243563716)"
21,3669,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,144738,0,0,1,533.3333,225.8453,0.4235,0,"LINESTRING (221903.16209305773 342154.4046680046, 221934.271 342187.295, 221968.40999999997 342228.353, 222009.69300000003 342272.286, 222013.848 342276.481, 222019.40000000002 342280.393, 222029.233 342281.6, 222036.98700000002 342282.296)"
22,3670,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,108988,0,0,1,533.3333,192.9098,0.3617,0,"LINESTRING (222036.98700000002 342282.296, 222039.972 342297.748, 222050.29100000003 342314.724, 222071.695 342340.173, 222088.38233830975 342358.5334551441)"
23,3672,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,15821,0,0,1,533.3333,15.7223,0.0295,0,"LINESTRING (222236.28499999997 342528.995, 222235.99599999998 342524.346, 222235.35700000002 342519.595, 222232.468 342514.99, 222231.928 342514.354)"
24,3673,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,154997,0,0,1,533.3333,45.1243,0.0846,0,"LINESTRING (222231.928 342514.354, 222224.99 342506.175, 222201.17700000003 342481.351)"
25,3674,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,67651,0,0,1,533.3333,30.0218,0.0563,0,"LINESTRING (222201.17700000003 342481.351, 222200 342480.124, 222190.17914842462 342468.94369880314)"
26,3679,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,77943,0,0,1,533.3333,28.4896,0.0534,0,"LINESTRING (222036.98700000002 342282.296, 222046.82299999997 342273.404, 222059.33399999997 342264.719)"
27,3682,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,31406,0,0,1,533.3333,16.4425,0.0308,0,"LINESTRING (222059.33399999997 342264.719, 222071.178 342253.314)"
28,3683,5009287.0,U,CLEENISH PARK,8064.0,0.0,2006-11-07,U6311,108996,0,0,1,533.3333,23.9161,0.0448,0,"LINESTRING (222071.178 342253.314, 222082.53600000002 342247.536, 222092.93099999998 342243.44)"
