,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
34,2886,0.0,U,,0.0,0.0,2006-11-07,U6527,77833,0,0,,1,533.3333,127.1007,0.2383,0,"LINESTRING (222552.76 343916.757, 222557.898 343914.316, 222562.337 343913.333, 222566.89 343913.289, 222570.23599999998 343913.356, 222573.44900000002 343913.419, 222576.12 343913.74, 222579.72499999998 343914.213, 222582.707 343914.898, 222585.51400000002 343915.971, 222590.561 343917.473, 222593.97100000002 343917.881, 222597.108 343916.653, 222600.76799999998 343913.869, 222632 343878.095, 222634.108 343877.261, 222636.41499999998 343876.721, 222638.81900000002 343876.623, 222641.468 343877.015, 222660.288 343882.061)",,,,,,,,,,,,,,,,,,,,,,,
35,2893,5017248.0,U,WILLOUGHBY COURT,311.0,0.0,2006-11-07,U6523,139518,0,0,,1,533.3333,28.0476,0.0526,0,"LINESTRING (222305.39899999998 344824.901, 222277.62199999997 344828.788)",,,,,,,,,,,,,,,,,,,,,,,
36,2898,5009520.0,U,HALLS LANE,14690.0,0.0,2006-11-07,U6518,67551,0,0,,1,533.3333,86.9605,0.1631,0,"LINESTRING (223448.934 344387.25, 223444.799 344380.625, 223439.64500000002 344372.328, 223439.20400000003 344371.618, 223425.928 344351.24, 223418.375 344339.371, 223408.869 344324.016, 223402.782 344313.56)",,,,,,,,,,,,,,,,,,,,,,,
37,2917,5009490.0,U,DERRYCHARA ROAD,4884.0,0.0,2006-11-07,U6514,31281,0,0,,1,533.3333,76.0675,0.1426,0,"LINESTRING (224049.571 343546.463, 224045.36 343537.907, 224039.81 343531.151, 224035.468 343528.256, 224029.918 343526.324, 224025.093 343526.808, 224023.163 343529.221, 224021.23200000002 343533.805, 224021.956 343536.7, 224024.852 343541.043, 224027.988 343542.974, 224033.77899999998 343544.421, 224041.25799999997 343545.386, 224049.571 343546.463)",,,,,,,,,,,,,,,,,,,,,,,
38,2923,5009275.0,U,KINARLA PARK,30491.0,0.0,2006-11-07,U6307,31291,0,0,,1,533.3333,6.8633,0.0129,0,"LINESTRING (221767.20500000002 345205.289, 221762.831 345200)",,,,,,,,,,,,,,,,,,,,,,,
39,2927,5009478.0,U,DERRYCHARA ROAD,4884.0,0.0,2006-11-07,U6514,160064,0,0,,1,533.3333,101.8905,0.191,0,"LINESTRING (224112.5609571891 343765.8968875473, 224116.023 343740.514, 224118.925 343718.977, 224119.526 343709.651, 224118.45299999998 343694.043, 224115.66100000002 343679.247, 224110.67700000003 343668.567)",,,,,,,,,,,,,,,,,,,,,,,
40,2952,5009456.0,U,LOUGHYOAN ROAD,30612.0,0.0,2006-11-07,U6513,15718,0,0,,1,533.3333,112.3841,0.2107,0,"LINESTRING (224494.05200000003 343055.079, 224507.651 343055.825, 224520.708229534 343056.36700233066)",,,,,,,,,,,,,,,,,,,,,,,
41,2963,5009533.0,U,DARLING STREET,4754.0,0.0,2006-11-07,U6523,62369,0,0,,1,533.3333,3.4685,0.0065,0,"LINESTRING (223209.641 344325.779, 223206.29700000002 344326.7)",,,,,,,,,,,,,,,,,,,,,,,
42,2965,5009450.0,U,CASTLECOOLE ROAD,7347.0,0.0,2006-11-07,U6513,57248,0,0,,1,533.3333,138.4816,0.2597,0,"LINESTRING (224421.907787584 343797.88076096954, 224430.71899999998 343791.917, 224447.33000000002 343784.239, 224465.63199999998 343775.524, 224468.07641234703 343774.27930877305)",,,,,,,,,,,,,,,,,,,,,,,
43,2973,5009448.0,U,WESTVILLE TERRACE,29.0,0.0,2006-11-07,U6511,67566,0,0,,1,533.3333,262.098,0.4914,0,"LINESTRING (224256.94900000002 343876.528, 224261.05599999998 343888.536, 224265.702 343906.305, 224272.098 343925.123, 224280.09399999998 343949.214, 224285.13900000002 343964.16, 224288.33378585667 343970.8767485781)",,,,,,,,,,,,,,,,,,,,,,,
44,3465,5005162.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,5338,0,0,,1,1466.6667,495.0549,0.3375,0,"LINESTRING (206952.039 362352.68, 206983.191 362341.228, 207010.69300000003 362329.909, 207030.669 362323.955, 207044.62238994567 362321.90586682083)",,,,,,,,,,,,,,,,,,,,,,,
45,3466,5009257.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,67627,0,0,,1,533.3333,14.3832,0.027,0,"LINESTRING (222069.84399999998 342508.32, 222070.642 342503.162, 222071.51400000002 342498.003, 222072.14899999998 342494.123)",,,,,,,,,,,,,,,,,,,,,,,
46,3524,5011032.0,U,ROSSIGH ROAD,35158.0,0.0,2006-11-07,U0542,57335,0,0,,1,533.3333,284.9965,0.5344,0,"LINESTRING (218149.305 355842.237, 218154.43800000002 355847.956, 218163.71399999998 355856.189, 218173.09100000001 355864.223, 218182.61800000002 355872.308, 218191.744 355880.541, 218201.01899999997 355889.025, 218210.39500000002 355897.509, 218219.42099999997 355905.742, 218228.947 355914.026, 218238.272 355922.51, 218247.598 355930.894, 218256.77399999998 355939.326, 218266.2 355947.511, 218275.526 355955.895, 218284.652 355964.078, 218293.87800000003 355972.312, 218303.45299999998 355981.047, 218312.78000000003 355989.131, 218324.348 356000, 218330.571 356006.521, 218344.24300000002 356018.993, 218353.06900000002 356026.861, 218360.385 356033.593)",,,,,,,,,,,,,,,,,,,,,,,
47,3615,5010983.0,U,VALLEY ROAD,35771.0,0.0,2006-11-07,U6503,134514,0,0,,1,533.3333,301.3337,0.565,0,"LINESTRING (219618.098 354463.821, 219628.40399999998 354471.58, 219648.581 354484.746, 219662.13199999998 354493.575, 219669.25900000002 354497.716, 219680.936 354501.633, 219691.821 354504.096, 219712.195 354508.562, 219738.113 354513.861, 219758.63900000002 354517.779, 219772.61599999998 354521.709, 219780.34499999997 354525.404, 219795.13799999998 354535.639, 219814.89899999998 354551.603, 219834.956 354568.57, 219854.173 354583.331, 219869.104 354595.817, 219878.66600000003 354602.723)",,,,,,,,,,,,,,,,,,,,,,,
48,3623,5009358.0,U,CARRAN CLOSE,29698.0,0.0,2006-11-07,U6501,144736,0,0,,1,533.3333,62.5848,0.1173,0,"LINESTRING (223623.12795222946 345239.5414475253, 223610.191 345239.667)",,,,,,,,,,,,,,,,,,,,,,,
49,3624,5009358.0,U,,0.0,0.0,2006-11-07,U6501,83152,0,0,,1,533.3333,55.9859,0.105,0,"LINESTRING (223579.38 345216.092, 223578.956 345217.672, 223580.588 345225.716, 223582.69199999998 345230.579, 223611.06 345246.998, 223618.46600000001 345250.195)",,,,,,,,,,,,,,,,,,,,,,,
50,3653,5009330.0,U,DERRYGORE ROAD,33231.0,0.0,2006-11-07,U6501,77933,0,0,,1,533.3333,942.6644,1.7675,0,"LINESTRING (223403.08916794838 345760.58585452574, 223479.092 345785.532, 223554.235 345812.486, 223593.72271974888 345826.19089786673)",,,,,,,,,,,,,,,,,,,,,,,
51,3669,5009293.0,U,CAPPOG ROAD,32660.0,0.0,2006-11-07,U6311,144738,0,0,,1,533.3333,225.8453,0.4235,0,"LINESTRING (221877.756 342128.195, 221901.528 342152.677, 221934.271 342187.295, 221968.40999999997 342228.353, 222009.69300000003 342272.286, 222013.848 342276.481, 222019.40000000002 342280.393, 222029.233 342281.6, 222036.98700000002 342282.296)",,,,,,,,,,,,,,,,,,,,,,,
