Unnamed: 0,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry
31,19428,5000293.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,52612,0,0,1,1466.6667,520.3509,0.3548,0,"LINESTRING (216846.2188924158 352619.4469891093, 216830.776 352629.104, 216800 352647.637, 216776.93300000002 352659.782, 216760.08299999998 352669.4, 216748.293 352677.242, 216737.96500000003 352682.642, 216718.86576977975 352694.6416275942)"
32,19433,5000286.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,31979,0,0,1,1466.6667,5059.9282,3.45,0,"MULTILINESTRING ((208129.32422253126 358275.67864990846, 208136.96000000002 358276.992, 208159.077 358279.53, 208188.05 358281.915, 208208.16600000003 358282.005, 208225.479 358282.147, 208245.794 358281.538, 208264.908 358278.728, 208290.827 358275.665, 208318.598 358273.351, 208342.41600000003 358271.388, 208358.027 358268.582, 208362.39929127658 358267.38726332376), (209282.41611935842 358164.31726498477, 209305.48100000003 358173.353, 209321.771 358179.902, 209347.45799999998 358187.025, 209372.91700000002 358192.794, 209397.636 358194.843, 209414.62574791448 358195.99195294507), (209551.02119910016 358229.886652298, 209564.33000000002 358239.541, 209579.625 358251.199, 209588.533 358258.246, 209595.04100000003 358262.31, 209600.001 358265.057, 209614.33000000002 358270.862, 209633.283 358275.929, 209652.587 358280.996, 209672.939 358287.463, 209690.89 358295.531, 209706.191 358301.844, 209721.293 358307.408, 209734.245 358311.07, 209744.197 358313.129, 209750.8 358311.885, 209772.311 358306.504, 209789.56900000002 358303.019, 209802.276 358299.28, 209814.63 358299.292, 209816.07535551002 358299.33844541496))"
33,19445,5000288.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,109525,0,0,1,1466.6667,976.2557,0.6656,0,"MULTILINESTRING ((200203.59399999998 357863.968, 200160.56800000003 357850.835, 200132.11200000002 357841.194, 200096.70899999997 357824.705, 200065.85600000003 357808.432, 200059.5314033843 357806.25747373316), (199966.7499353462 357790.49595739995, 199960.41600000003 357790.254, 199918.00799999997 357791.669, 199895.515 357791.826, 199872.277 357794.317, 199849.15000000002 357793.663, 199836.887 357792.122, 199807.614 357788.947, 199784.94 357780.604, 199757.511 357770.267, 199735.41700000002 357760.436, 199708.73599999998 357752.614, 199675.652 357742.566, 199650.34100000001 357738.769, 199624.26299999998 357735.707, 199592.887 357730.242, 199564.13 357723.778, 199542.43300000002 357716.604, 199522.224 357707.509, 199505.53000000003 357700.083, 199500.88330145867 357697.5537336711))"
34,19605,5000347.0,A,DERRYLIN ROAD,29989.0,0.0,2006-11-07,A0509,10935,0,0,1,1466.6667,128.0265,0.0873,0,"LINESTRING (223251.652 340451.249, 223243.64454156093 340383.2800392486)"
35,21774,0.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,109415,0,0,1,1466.6667,690.1057,0.4705,0,"LINESTRING (202976.65999999997 358230.994, 202928.755 358215.778, 202897.376 358204.054, 202867.197 358192.487, 202830.97100000002 358180.486, 202799.788 358169.513, 202772.84399999998 358160.414, 202740.033 358145.681, 202692.093 358127.665, 202638.20400000003 358109.617, 202601.374 358098.363, 202573.575 358090.259, 202541.61599999998 358084.033, 202495.767 358076.43, 202459.349 358071.879, 202430.69 358065.421, 202422.06435126005 358063.1604560829)"
36,21813,5000218.0,A,IRVINESTOWN ROAD,30402.0,0.0,2006-11-07,A0032,160639,0,0,1,1466.6667,1265.9132,0.8631,0,"LINESTRING (223639.30699999997 348012.322, 223639.71999999997 348000, 223641.717 347974.871, 223642.9140390095 347966.8123112687)"
37,25663,5000055.0,A,BELFAST ROAD,13812.0,0.0,2006-11-07,A0004,99351,0,0,1,1466.6667,570.3678,0.3889,0,"LINESTRING (227154.97979608455 341092.0230900157, 227166.00199999998 341089.591)"
38,25665,0.0,A,BOA ISLAND ROAD,32505.0,0.0,2006-11-07,A0047,16496,0,0,1,1466.6667,131.4241,0.0896,0,"LINESTRING (213993.48100000003 364471.812, 214009.2307285368 364480.27044246136)"
39,27293,5009357.0,U,CORBAN AVENUE,11415.0,0.0,2006-11-07,U6501,94052,0,0,1,533.3333,39.9556,0.0749,0,"LINESTRING (223400 345209.621, 223404.47999999998 345200, 223408.691 345192.657, 223413.82799999998 345185.376, 223418.21399999998 345180.689, 223420.86 345178.038, 223422.14500000002 345176.774)"
40,27333,5000055.0,A,BELFAST ROAD,13812.0,0.0,2006-11-07,A0004,78623,0,0,1,1466.6667,321.5452,0.2192,0,"LINESTRING (227166.00199999998 341089.591, 227209.028 341079.12, 227231.77877093919 341074.6573857395)"
