,OBJECTID,RSID_left,CLASS_left,NAME,USRN_left,CROSSREFER_left,ENTRY_DATE_left,ROAD_NUMBE_left,ESU_left,FROM_END_left,TO_END_left,TEMP_left,ENABLED_left,MetrepMin_left,Length_left,Minutes_left,Id_left,geometry,index_right,Key,RSID_right,CLASS_right,NAME_1,USRN_right,CROSSREFER_right,ENTRY_DATE_right,ROAD_NUMBE_right,ESU_right,FROM_END_right,TO_END_right,TEMP_right,ENABLED_right,MetrepMin_right,Length_right,Minutes_right,OBJECTID_2,Id_right,NAME_2,ET_ID,Shape_Leng,Shape_Area
25,3747,5009260.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,41774,0,0,,1,533.3333,56.6373,0.1062,0,"LINESTRING (222094.772 342518.216, 222094.668 342520.808, 222094.772 342523.296, 222095.28999999998 342525.991, 222096.119 342528.063, 222097.778 342529.723, 222100.474 342530.552, 222104.62 342530.655, 222108.663 342530.345, 222112.396 342529.516, 222114.055 342528.272, 222114.98700000002 342526.613, 222114.90899999999 342524.651, 222114.885 342524.021, 222114.365 342521.533, 222112.396 342520.187, 222107.83399999997 342519.875, 222102.858 342519.771, 222099.43699999998 342519.045, 222096.119 342518.008, 222094.772 342518.216)",,,,,,,,,,,,,,,,,,,,,,,
26,3748,5009260.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,52075,0,0,,1,533.3333,24.8372,0.0466,0,"LINESTRING (222070.95899999997 342514.659, 222079.325 342514.587, 222085.131 342514.484, 222089.07 342514.898, 222092.387 342516.142, 222094.772 342518.216)",,,,,,,,,,,,,,,,,,,,,,,
27,3751,5009255.0,U,DRUMGALLON,30059.0,0.0,2006-11-07,U6303,129415,0,0,,1,533.3333,101.2526,0.1898,0,"LINESTRING (222134.565 342542.034, 222144.234 342538.765, 222159.212 342534.088, 222174.02000000002 342529.937, 222192.21600000001 342524.703, 222200 342522.899, 222219.265 342517.71, 222231.928 342514.354)",,,,,,,,,,,,,,,,,,,,,,,
28,3755,5009250.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,57363,0,0,,1,533.3333,52.7316,0.0989,0,"LINESTRING (222026.669 342487.636, 222032.77500000002 342487.121, 222041.58399999997 342485.557, 222047.58899999998 342483.446, 222050.07299999997 342481.896, 222054.798 342479.448, 222059.67700000003 342482.248, 222063.85499999998 342487.38, 222067.571 342491.393, 222072.14899999998 342494.123)",,,,,,,,,,,,,,,,,,,,,,,
29,3756,5009251.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,26117,0,0,,1,533.3333,38.7271,0.0726,0,"LINESTRING (222082.65999999997 342465.79, 222088.86865632643 342465.0649482859)",,,,,,,,,,,,,,,,,,,,,,,
30,3758,5009252.0,U,LISGOOLE PARK,20277.0,0.0,2006-11-07,U6303,114185,0,0,,1,533.3333,35.3807,0.0663,0,"LINESTRING (222028.803 342431.94, 222036.04499999998 342427.913, 222044.499 342423.377, 222054.168 342417.854, 222060.146 342415.668)",,,,,,,,,,,,,,,,,,,,,,,
31,3761,0.0,U,DRUMAWILL PARK,2904.0,0.0,2006-11-07,U6303,134525,0,0,,1,533.3333,21.1812,0.0397,0,"LINESTRING (221950.2671658962 342626.2637321858, 221952.61 342625.21, 221956.544 342622.875)",,,,,,,,,,,,,,,,,,,,,,,
32,3789,5009232.0,U,ORCHARD COURT,30887.0,0.0,2006-11-07,U6300,103749,0,0,,1,533.3333,52.1442,0.0978,0,"LINESTRING (222194.6415432077 342660.69585887215, 222197.891 342660.373)",,,,,,,,,,,,,,,,,,,,,,,
33,3790,5000288.0,A,LOUGH SHORE ROAD,30597.0,0.0,2006-11-07,A0046,114189,0,0,,1,1466.6667,265.271,0.1809,0,"LINESTRING (200453.40899999999 357951.679, 200407.32 357936.368, 200355.064 357911.453, 200320.99800000002 357899.904, 200310.227 357896.483, 200288.191 357890.195, 200244.109 357875.77, 200206.94400000002 357864.393, 200203.59399999998 357863.968)",,,,,,,,,,,,,,,,,,,,,,,
34,3806,5009225.0,U,GLENWOOD GARDENS,30274.0,0.0,2006-11-07,U6300,173,0,0,,1,533.3333,61.2711,0.1149,0,"LINESTRING (222057.588 342647.07, 222068.98604428986 342668.1854976089)",,,,,,,,,,,,,,,,,,,,,,,
